Membership No  Date Joined  Active  
    64775      2018-3-14    no    
    11030      2018-3-5     no    
    13913      2017-3-21    no    
    76688      2016-2-3     no    
    72030      2017-5-1     no    
    57582      2018-4-2     no    
    62138      2018-5-17    no    
    53465      2020-8-17    no    
    71677      2018-5-12    no    
    14473      2017-2-12    no    
    78099      2016-1-5     no    
    90094      2020-3-15    no    
    64186      2016-2-4     no    
    10806      2017-6-1     no    
