Membership No  Date Joined  Active  
    44728      2019-11-17   no    
    77715      2015-6-16    no    
    63220      2019-6-19    no    
    61553      2019-12-2    no    
    28456      2020-12-20   no    
    21169      2019-4-16    no    
    95859      2015-6-6     no    
    74858      2016-2-22    no    
    10905      2018-12-7    no    
    52921      2017-9-18    no    
    23553      2017-2-2     no    
    10227      2018-4-19    no    
    43193      2020-1-19    no    
    80938      2017-1-7     no    
    66136      2015-5-23    no    
    35453      2020-7-16    no    
    35650      2019-3-10    no    
    20642      2016-2-2     no    
    69378      2015-3-15    no    
