,character,id,name
0,Yinsen,17857,Shaun Toub
1,"Virginia ""Pepper"" Potts",12052,Gwyneth Paltrow
2,Obadiah Stane / Iron Monger,1229,Jeff Bridges
3,War Machine,18288,Terrence Howard
4,Christine Everhart,57451,Leslie Bibb
5,Raza,57452,Faran Tahir
6,Tony Stark / Iron Man,3223,Robert Downey Jr.
7,Agent Phil Coulson,9048,Clark Gregg
8,Abu Bakaar,173810,Sayed Badreya
9,J.A.R.V.I.S. (voice),6162,Paul Bettany
10,Happy Hogan,15277,Jon Favreau
11,William Ginter Riva,12708,Peter Billingsley
12,Major Allen,40275,Tim Guinee
13,Director Nick Fury,2231,Samuel L. Jackson
14,General Gabriel,17200,Bill Smitrovich
15,Award Ceremony Narrator (voice),163671,Will Lyman
16,Guard,78299,Tom Morello
17,Guard,54809,Marco Khan
18,Guard,944830,Daston Kalili
19,Guard,1209417,Ido Ezra
20,Jimmy,95698,Kevin Foster
21,Pratt,1209418,Garret Noël
22,Ramirez,62037,Eileen Weisinger
23,Ahmed,183439,Ahmed Ahmed
24,Omar,109669,Fahim Fazli
25,Howard Stark,104669,Gerard Sanders
26,Viper 1,1209419,Tim Rigby
27,Viper 2,195442,Russell Richardson
28,Amira Ahmed,142213,Nazanin Boniadi
29,Colonel Craig,1209702,Thomas Craig Plumer
30,Dealer at Craps Table,1209703,Robert Berkman
31,Woman at Craps Table,183037,Stacy Stas
32,Woman at Craps Table,1209704,Lauren Scyphers
33,Engineer,214951,Frank Nyi
34,Air Force Officer,205362,Marvin Jordan
35,Jim Cramer,203468,Jim Cramer
36,Woman In SUV,939869,Donna Evans
37,Kid in SUV,1209705,Reid Harper
38,Kid in SUV,1209706,Summer Kylie Remington
39,Kid in SUV,1209707,Ava Rose Williams
40,Kid in SUV,1209708,Vladimir Kubr
41,Kid in SUV,1209709,Callie Croughwell
42,Gulmira Kid,1209710,Javan Tahir
43,Gulmira Mom,206423,Sahar Bibiyan
44,Reporter,133121,Patrick O'Connell
45,Reporter,181895,Adam Harrington
46,Reporter,62843,Meera Simhan
47,Reporter,204606,Ben Newmark
48,Flight Attendant,210842,Ricki Lander
49,Flight Attendant,205720,Jeannine Kaspar
50,Flight Attendant,1005698,Sarah Cahill
51,Stan Lee,7624,Stan Lee
52,Air Force Lieutenant,1209711,Justin Rex
53,Zorianna Kit,90721,Zorianna Kit
54,Stan's Girl,169681,Lana Kinnear
55,Stan's Girl,1209712,Nicole Lindeblad
56,Stan's Girl,1209713,Masha Lund
57,Stan's Girl,169642,Gabrielle Tuite
58,CAOC Analyst,27031,Tim Griffin
59,CAOC Analyst,34544,Joshua Harto
60,CAOC Analyst,150669,Micah A. Hauptman
61,CAOC Analyst,1209714,James Bethea
62,Photographer (uncredited),1209715,Jeffrey Ashkin
63,Georgio (uncredited),1004624,Russell Bobbitt
64,Fireman's Wife (uncredited),984619,Vianessa Castaños
65,Gulmira Villager (uncredited),1209716,Mike Cochrane
66,Dubai Beauty (uncredited),1209717,Crystal Marie Denha
67,Dubai Girl (uncredited),970218,Mellany Gandara
68,House wife at Award Ceremony (uncredited),1209718,Halla
69,Insurgent (uncredited),1202546,Rodrick Hersh
70,Reporter (uncredited),1209719,Kristin J. Hooper
71,Dubai Waiter (uncredited),1209720,Chris Jalandoni
72,Party Guest (uncredited),1209721,Steve Janousek
73,Dancer in Ballroom (uncredited),1209722,Laura Liguori
74,Reporter (uncredited),1089759,Flavia Manes Rossi
75,Village Dad (uncredited),1096679,Anthony Martins
76,Reporter (uncredited),1209723,Robert McMurrer
77,Airforce Officer (uncredited),1209724,James M. Myers
78,Dubai Beauty #1 (uncredited),78434,America Olivo
79,Staff Sergeant (uncredited),1209725,Sylvette Ortiz
80,Journalist (uncredited),1209726,Brett Padelford
81,Voice (uncredited),1209727,Ajani Perkins
82,Reporter (uncredited),1209728,Chris Reid
83,News Cameraman (uncredited),1209729,Toi Rose
84,Rooftop Fireman (uncredited),1209730,George F. Watson
85,Whiplash One (voice) (uncredited),1209731,David Zyler
86,Reporter (uncredited),1429470,Nick W. Nicholson
