CountryName;CountryCode;IndicatorName;IndicatorCode;Year;Value
Arab World;ARB;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;31.285
Caribbean small states;CSS;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;31.597
Central Europe and the Baltics;CEB;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;44.508
East Asia & Pacific (all income levels);EAS;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;22.471
East Asia & Pacific (developing only);EAP;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;16.918
Euro area;EMU;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;62.097
Europe & Central Asia (all income levels);ECS;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;55.379
Europe & Central Asia (developing only);ECA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;38.066
European Union;EUU;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;61.213
Fragile and conflict affected situations;FCS;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;17.892
Heavily indebted poor countries (HIPC);HPC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;12.236
High income;HIC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;62.680
High income: nonOECD;NOC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;56.108
High income: OECD;OEC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;64.285
Latin America & Caribbean (all income levels);LCN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;49.285
Latin America & Caribbean (developing only);LAC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;44.863
Least developed countries: UN classification;LDC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;9.616
Low & middle income;LMY;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;21.273
Low income;LIC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;11.498
Lower middle income;LMC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;19.811
Middle East & North Africa (all income levels);MEA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;34.951
Middle East & North Africa (developing only);MNA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;33.875
Middle income;MIC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;22.053
North America;NAC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;69.918
OECD members;OED;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;62.481
Other small states;OSS;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;14.338
Pacific island small states;PSS;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;22.044
Small states;SST;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;21.121
South Asia;SAS;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;16.736
Sub-Saharan Africa (all income levels);SSF;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;14.631
Sub-Saharan Africa (developing only);SSA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;14.617
Upper middle income;UMC;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;24.109
World;WLD;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;33.558
Afghanistan;AFG;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;8.221
Albania;ALB;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;30.705
Algeria;DZA;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;30.510
American Samoa;ASM;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;66.211
Andorra;ADO;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;58.450
Angola;AGO;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;10.435
Antigua and Barbuda;ATG;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;39.656
Argentina;ARG;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;73.611
Armenia;ARM;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;51.275
Aruba;ABW;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;50.776
Australia;AUS;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;81.529
Austria;AUT;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;64.720
Azerbaijan;AZE;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;52.663
Bahamas, The;BHS;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;59.712
Bahrain;BHR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;82.320
Bangladesh;BGD;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;5.135
Barbados;BRB;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;36.777
Belarus;BLR;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;32.401
Belgium;BEL;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;92.460
Belize;BLZ;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;54.028
Benin;BEN;Urban population (% of total);SP.URB.TOTL.IN.ZS;1960;9.275
